id_registro,fecha,h_sueno,cal_sueno,n_comidas,cal_consumo,h_osio,cal_consumo_tec,uso_ia,aplicacion,pregunta_objetivo,id_alumno
1,11/07/2026,4,6,4,8,1,3,false,,6,5
2,13/07/2026,1,2,3,6,3,3,false,,10,1
3,13/07/2026,1,6,4,4,1,3,false,,8,3
4,13/07/2026,4,8,4,6,5,3,true,escuela,6,5
5,14/07/2026,2,4,4,4,2,3,false,,6,3
6,14/07/2026,1,2,1,2,5,4,true,escuela,2,9
7,14/07/2026,1,4,2,4,3,3,false,,4,10
8,14/07/2026,1,8,4,8,3,3,true,trabajo,2,1
9,14/07/2026,4,6,3,6,3,0,false,,6,11
10,15/07/2026,2,6,3,8,2,2,false,,8,13
11,15/07/2026,3,8,4,6,1,3,false,,8,3
12,16/07/2026,2,6,4,8,3,2,false,,10,14
13,17/07/2026,3,8,4,8,3,2,true,vida_personal,10,14
14,17/07/2026,2,6,4,6,1,3,false,,6,7
15,17/07/2026,1,4,1,4,3,3,true,vida_personal,6,13
16,17/07/2026,3,6,4,6,1,3,false,,6,27
17,17/07/2026,3,8,2,8,3,3,false,,8,29
18,18/07/2026,3,8,4,8,1,3,false,,10,14
19,19/07/2026,3,8,4,6,3,3,true,escuela,8,13
20,20/07/2026,4,10,4,10,3,2,false,,10,14
21,21/07/2026,3,10,4,8,2,4,false,,8,13
22,22/07/2026,3,8,4,8,1,3,false,,8,13
